Taxon,Voucher,Unnamed
Acremonium_chrysogenum,KF757229,
Acremonium_fuci,KR864757,
Acremonium_implicatum,KP164992,
Beauveria_bassiana,KT201149,
Beauveria_caledonica,KT201150,
Beauveria_malawiensis,KT201147,
Beauveria_pseudobassiana,KF297618,
Clonostachys_rosea,KU668563,
Cordyceps_bassiana,EU100742,
Cordyceps_brongniartii,EU100743,
Isaria_cicadae,MH922223,
Cordyceps_militaris,KP722505,
Cordyceps_tenuipes,MK234910,
Epichloe_festucae,KX066186,
Epichloe_typhina,KX066185,
Fusarium_circinatum,JX910419,
Fusarium_commune,LT906348,
Fusarium_culmorum,KP827647,
Fusarium_fujikuroi,JX910420,
Fusarium_gerlachii,KM486533,
Fusarium_graminearum,DQ364632,
Fusarium_mangiferae,KP742838,
Fusarium_oxysporum,MF155191,
Fusarium_proliferatum,LT841261,
Fusarium_solani,JN041209,
Fusarium_sp.,MF538632,UNVERIFIED
Gibberella_moniliformis,JN041210,
Hirsutella_minnesotensis,KR139916,
Hirsutella_rhossiliensis,KU203675,
Hirsutella_thompsonii,MH367296,
Hirsutella_vermicola,KY465721,
Hypomyces_aurantius,KU666552,
Ilyonectria_destructans,KU881725,
Isaria_tenuipes,MH734936,UNVERIFIED
Lecanicillium_muscarium,AF487277,
Lecanicillium_saksenae,KT585676,
Metacordyceps_chlamydosporia,KF479445,
Metarhizium_anisopliae,AY884128,
Metarhizium_robertsii,JELW01000367,
Nectria_cinnabarina,KT731105,
Neurospora_crassa,KY498478,
Ophiocordyceps_sinensis,KY622006,
Paecilomyces_hepiali,KJ764671,
Paecilomyces_penicillatus,MK069583,
Parengyodontium_album,KX061492,
Podospora_anserina,X55026,
Tolypocladium_inflatum,KY924883,
Tolypocladium_ophioglossoides,KX455872,
Trichoderma_asperellum,KR952346,
Trichoderma_gamsii,KU687109,
Trichoderma_hamatum,MF287973,
Trichoderma_reesei,AF447590,
Tolypocladium_cylindrosporum,MN842262,
Akanthomyces_lecanii,MN904747,
Purpureocillium_lilacinum,MN635609,
Tolypocladium_reniformisporum,MN583265,
