	Comparts	Site	Sitetre	Treatment	Soiltype	ComTreament	TreCom	SiteCom	Maize.variety	Growing.day
BQYCK1	BS	QY	QYCK	CK	RS	BQYCK	CKB	QYB	YD13	116d
BQYCK2	BS	QY	QYCK	CK	RS	BQYCK	CKB	QYB	YD13	116d
BQYCK3	BS	QY	QYCK	CK	RS	BQYCK	CKB	QYB	YD13	116d
BQYCK4	BS	QY	QYCK	CK	RS	BQYCK	CKB	QYB	YD13	116d
BQYCK5	BS	QY	QYCK	CK	RS	BQYCK	CKB	QYB	YD13	116d
BQYCK6	BS	QY	QYCK	CK	RS	BQYCK	CKB	QYB	YD13	116d
BQYCK7	BS	QY	QYCK	CK	RS	BQYCK	CKB	QYB	YD13	116d
BQYCK8	BS	QY	QYCK	CK	RS	BQYCK	CKB	QYB	YD13	116d
BQYCK9	BS	QY	QYCK	CK	RS	BQYCK	CKB	QYB	YD13	116d
BQYNPK1	BS	QY	QYNPK	NPK	RS	BQYNPK	NPKB	QYB	YD13	116d
BQYNPK2	BS	QY	QYNPK	NPK	RS	BQYNPK	NPKB	QYB	YD13	116d
BQYNPK3	BS	QY	QYNPK	NPK	RS	BQYNPK	NPKB	QYB	YD13	116d
BQYNPK4	BS	QY	QYNPK	NPK	RS	BQYNPK	NPKB	QYB	YD13	116d
BQYNPK5	BS	QY	QYNPK	NPK	RS	BQYNPK	NPKB	QYB	YD13	116d
BQYNPK6	BS	QY	QYNPK	NPK	RS	BQYNPK	NPKB	QYB	YD13	116d
BQYNPK7	BS	QY	QYNPK	NPK	RS	BQYNPK	NPKB	QYB	YD13	116d
BQYNPK8	BS	QY	QYNPK	NPK	RS	BQYNPK	NPKB	QYB	YD13	116d
BQYNPK9	BS	QY	QYNPK	NPK	RS	BQYNPK	NPKB	QYB	YD13	116d
BQYNPKM1	BS	QY	QYNPKM	NPKM	RS	BQYNPKM	NPKMB	QYB	YD13	116d
BQYNPKM2	BS	QY	QYNPKM	NPKM	RS	BQYNPKM	NPKMB	QYB	YD13	116d
BQYNPKM3	BS	QY	QYNPKM	NPKM	RS	BQYNPKM	NPKMB	QYB	YD13	116d
BQYNPKM4	BS	QY	QYNPKM	NPKM	RS	BQYNPKM	NPKMB	QYB	YD13	116d
BQYNPKM5	BS	QY	QYNPKM	NPKM	RS	BQYNPKM	NPKMB	QYB	YD13	116d
BQYNPKM6	BS	QY	QYNPKM	NPKM	RS	BQYNPKM	NPKMB	QYB	YD13	116d
BQYNPKM7	BS	QY	QYNPKM	NPKM	RS	BQYNPKM	NPKMB	QYB	YD13	116d
BQYNPKM8	BS	QY	QYNPKM	NPKM	RS	BQYNPKM	NPKMB	QYB	YD13	116d
BQYNPKM9	BS	QY	QYNPKM	NPKM	RS	BQYNPKM	NPKMB	QYB	YD13	116d
BYCCK1	BS	YC	YCCK	CK	FS	BYCCK	CKB	YCB	ZD958	68d
BYCCK2	BS	YC	YCCK	CK	FS	BYCCK	CKB	YCB	ZD958	68d
BYCCK3	BS	YC	YCCK	CK	FS	BYCCK	CKB	YCB	ZD958	68d
BYCCK4	BS	YC	YCCK	CK	FS	BYCCK	CKB	YCB	ZD958	68d
BYCCK5	BS	YC	YCCK	CK	FS	BYCCK	CKB	YCB	ZD958	68d
