Gene_set	Term	Overlap	P-value	Adjusted P-value	Old P-value	Old Adjusted P-value	Odds Ratio	Combined Score	Genes
KEGG_2021_Human	Osteoclast differentiation	28/127	1.116188e-13	3.136489e-11	0	0	6.997802e+00	2.087002e+02	LILRA6;ITGB3;LILRA2;LILRA5;PPP3R1;FCGR3B;SIRPA;FYN;RAC1;JUNB;MAPK3;TGFB1;SYK;IL1R1;IFNGR1;IFNGR2;LILRB1;FOS;GAB2;LILRB2;LILRB3;MAPK14;FOSL2;FCGR2A;GRB2;FCGR2C;IRF9;IFNAR1
KEGG_2021_Human	Tuberculosis	31/180	5.807040e-12	8.158891e-10	0	0	5.154266e+00	1.333509e+02	RAB5B;ITGB2;PPP3R1;HLA-DMA;FCGR3B;HLA-DMB;CASP3;LAMP2;ITGAX;FADD;BID;ATP6V0A1;HLA-DPA1;MAPK3;ATP6V0B;TGFB1;ARHGEF12;FCER1G;APAF1;SYK;IFNGR1;IL10RB;IFNGR2;MAPK14;FCGR2A;HLA-DRA;ATP6V0D1;ATP6V0C;TLR4;FCGR2C;HLA-DRB1
KEGG_2021_Human	Phagosome	28/152	1.164075e-11	1.090350e-09	0	0	5.579642e+00	1.404759e+02	ATP6V1A;RAB5B;ITGB5;ITGB3;ITGB2;HLA-DMA;FCGR3B;HLA-DMB;LAMP2;CD36;RAC1;ATP6V1D;ATP6V0A1;HLA-DPA1;ATP6V1G1;ATP6V0B;STX7;M6PR;TUBB4B;FCGR2A;ATP6V1B2;HLA-DRA;ITGA5;ATP6V0D1;ATP6V0C;TLR4;FCGR2C;HLA-DRB1
KEGG_2021_Human	Th17 cell differentiation	21/107	1.302048e-09	9.146888e-08	0	0	5.991492e+00	1.225819e+02	HSP90AA1;IL4R;TGFB1;IL1R1;IFNGR1;IFNGR2;IL1RAP;FOS;IL2RG;MAPK14;HIF1A;PPP3R1;HLA-DMA;HLA-DMB;HLA-DRA;IL6ST;IL6R;JAK3;HLA-DRB1;HLA-DPA1;MAPK3
KEGG_2021_Human	Rheumatoid arthritis	19/93	3.929712e-09	2.208498e-07	0	0	6.287746e+00	1.216974e+02	ATP6V1A;ATP6V0B;ATP6V1G1;TGFB1;ITGB2;FOS;ITGAL;TNFSF13B;HLA-DMA;HLA-DMB;ATP6V1B2;HLA-DRA;ATP6V0D1;ATP6V0C;TLR4;ATP6V1D;HLA-DRB1;HLA-DPA1;ATP6V0A1
KEGG_2021_Human	Leishmaniasis	17/77	7.482180e-09	3.504154e-07	0	0	6.925926e+00	1.295892e+02	TGFB1;IFNGR1;PRKCB;IFNGR2;ITGB2;FOS;MAPK14;HLA-DMA;FCGR3B;HLA-DMB;FCGR2A;HLA-DRA;TLR4;FCGR2C;HLA-DRB1;HLA-DPA1;MAPK3
KEGG_2021_Human	Epithelial cell signaling in Helicobacter pylori infection	16/70	1.214383e-08	4.874879e-07	0	0	7.235828e+00	1.318834e+02	ATP6V1A;LYN;MAP2K4;ATP6V0B;ATP6V1G1;PTPN11;F11R;MAPK14;CASP3;CXCR2;ATP6V1B2;RAC1;ATP6V0D1;ATP6V0C;ATP6V1D;ATP6V0A1
KEGG_2021_Human	B cell receptor signaling pathway	17/81	1.686319e-08	5.923194e-07	0	0	6.491699e+00	1.161893e+02	LILRA6;LYN;GSK3B;IFITM1;SYK;PRKCB;LILRB1;FOS;LILRB2;LILRA2;LILRB3;LILRA5;PPP3R1;GRB2;KRAS;RAC1;MAPK3
KEGG_2021_Human	Th1 and Th2 cell differentiation	17/92	1.225456e-07	3.826146e-06	0	0	5.536398e+00	8.811058e+01	IL4R;JAG1;MAML1;IFNGR1;IFNGR2;FOS;IL2RG;MAPK14;HLA-DMA;PPP3R1;HLA-DMB;HLA-DRA;MAML3;JAK3;HLA-DRB1;HLA-DPA1;MAPK3
KEGG_2021_Human	Kaposi sarcoma-associated herpesvirus infection	25/193	2.327323e-07	6.539777e-06	0	0	3.654378e+00	5.581469e+01	GSK3B;HIF1A;GNG10;PPP3R1;CASP3;E2F3;FADD;RAC1;BID;MAPK3;LYN;MAP2K4;SYK;IFNGR1;FOS;MAPK14;HCK;GNB2;MAPKAPK2;GNB1;GNB4;KRAS;IL6ST;IRF9;IFNAR1
KEGG_2021_Human	Fc gamma R-mediated phagocytosis	17/97	2.724388e-07	6.959572e-06	0	0	5.189017e+00	7.843641e+01	LYN;SYK;PRKCB;LIMK2;PRKCD;ARPC1A;ASAP1;ARPC5;GAB2;HCK;MARCKS;PTPRC;FCGR3B;FCGR2A;ARPC2;RAC1;MAPK3
