NAME,786-0,BT-549,CCRF-CEM,COLO 205,EKVX,HCC-2998,HCT-15,HOP-62,HOP-92,HS 578T,HT29,K-562,KM12,M14,MDA-MB-231/ATCC,MDA-MB-435,NCI-H23,NCI-H322M,NCI-H522,OVCAR-3,OVCAR-5,OVCAR-8,PC-3,RXF-393,SF-268,SF-295,SK-MEL-2,SN12C,SNB-19,SNB-75,SW-620,T-47D,U251,A498,A549/ATCC,ACHN,CAKI-1,HCT-116,LOX IMVI,MALME-3M,MCF7,MOLT-4,NCI-H460,OVCAR-4,SF-539,SK-MEL-5,SR,UACC-257,UACC-62,UO-31
DIP2A,3634.87000001,2958.50000001,3273.98000001,3633.55000001,3832.05000001,2844.4900000099997,2082.90000001,4005.2200000099997,4137.82000001,4042.29000001,3113.65000001,2584.32000001,2958.38000001,3322.86000001,4263.00000001,4343.08000001,4011.62000001,3582.04000001,2630.6600000099997,3559.6400000099998,2584.88000001,5048.80000001,4097.58000001,4902.1500000099995,3687.36000001,4752.1500000099995,3216.90000001,3654.63000001,4990.63000001,4178.17000001,2686.30000001,3324.9500000099997,3445.9500000099997,2549.98000001,2944.54000001,3543.44000001,3306.71000001,3185.01000001,3510.82000001,2145.80000001,2870.09000001,2742.4700000099997,2460.11000001,3427.31000001,2910.46000001,3041.00000001,3553.01000001,3598.13000001,2508.9900000099997,3351.80000001
IGDCC3,30.07000001,1.79000001,2.0500000099999998,53.69000001,117.04000001,36.450000010000004,88.28000001,194.10000001,309.59000001,256.78000001,12.650000010000001,2.59000001,385.06000001,3.54000001,1243.23000001,2.40000001,6.97000001,178.57000001,5.7700000099999995,2.44000001,67.02000000999999,738.84000001,8.29000001,1259.88000001,216.89000001,152.96000001000002,7.04000001,119.48000001,48.99000001,105.62000001,12.12000001,6.78000001,38.65000001,18.73000001,2.5500000099999998,5.71000001,2.0300000099999997,106.06000001,7.7700000099999995,3.10000001,2.94000001,7.20000001,32.88000001,53.68000001,28.46000001,6.25000001,1.08000001,4.15000001,2.16000001,8.060000010000001
SNX9,118.59000001,120.65000001,427.10000001000003,167.41000001,409.87000001,172.69000001,169.18000001000001,468.61000001,169.30000001000002,262.52000001,189.76000001,176.87000001,179.50000001,219.67000001,122.40000001,104.30000000999999,101.36000001,130.08000001000002,165.13000001,130.01000001,152.93000001000001,99.65000001,124.31000001,118.63000000999999,156.47000001,145.46000001000002,121.25000001,263.34000001,83.48000001,163.19000001,125.68000001,155.24000001000002,143.90000001,99.01000001,140.23000001,91.26000001,129.73000001,182.48000001,91.76000001,107.90000001,98.89000001,241.92000001,76.58000000999999,105.40000001,151.32000001,88.99000000999999,125.72000000999999,121.05000000999999,89.72000000999999,146.78000001
1700008I05RIK,654.13000001,807.46000001,797.84000001,977.85000001,1341.43000001,1029.15000001,865.58000001,411.22000001000004,840.35000001,890.61000001,769.30000001,1207.5700000099998,916.08000001,614.11000001,990.27000001,1093.25000001,594.26000001,1368.15000001,967.04000001,742.35000001,834.63000001,1049.5500000099998,952.12000001,1892.8700000099998,776.39000001,691.4400000100001,526.14000001,794.80000001,844.39000001,742.6900000100001,1067.49000001,1009.24000001,705.04000001,525.1900000100001,917.23000001,716.04000001,654.61000001,849.30000001,1065.5400000099999,447.54000001,844.06000001,651.60000001,681.41000001,716.59000001,785.99000001,670.06000001,597.84000001,729.31000001,650.29000001,869.98000001
PFTK1,72.11000001,88.55000000999999,148.44000001,50.65000001,104.00000001,93.01000001,127.63000000999999,118.28000001,47.55000001,57.96000001,64.90000001,142.14000001,149.51000001,56.98000001,95.31000001,62.68000001,96.46000000999999,106.20000001,211.77000001000002,96.02000000999999,105.27000000999999,71.87000001,190.92000001,47.81000001,106.56000001,53.25000001,74.71000000999999,93.20000001,56.37000001,59.11000001,147.44000001,101.16000000999999,66.74000000999999,38.44000001,73.37000001,44.63000001,47.74000001,79.05000000999999,61.17000001,65.28000001,156.93000001000001,87.33000000999999,88.75000001,83.16000000999999,53.94000001,50.71000001,93.21000000999999,43.97000001,50.82000001,70.07000000999999
CD80,43.65000001,197.45000001,16.920000010000003,63.42000001,52.340000010000004,261.37000001,16.510000010000002,20.88000001,59.12000001,57.700000010000004,285.99000001,170.43000001000001,98.02000000999999,90.73000001,46.07000001,67.49000000999999,52.56000001,19.08000001,51.33000001,21.29000001,120.46000000999999,25.73000001,216.23000001,135.53000001,24.870000010000002,16.870000010000002,33.840000010000004,65.97000000999999,17.72000001,18.82000001,66.82000000999999,18.29000001,50.86000001,75.79000001,26.05000001,23.43000001,31.34000001,41.60000001,40.33000001,28.15000001,13.53000001,53.63000001,39.08000001,28.440000010000002,11.43000001,114.03000001,26.100000010000002,54.62000001,19.04000001,41.03000001
8430420F16RIK,60.200000010000004,79.18000001,44.24000001,34.47000001,89.66000000999999,67.37000001,54.270000010000004,79.68000001,81.65000001,147.32000001,71.55000000999999,73.96000000999999,67.01000001,50.35000001,68.38000000999999,79.52000000999999,36.80000001,49.86000001,115.19000000999999,63.60000001,57.72000001,102.82000000999999,85.96000000999999,81.26000001,102.80000000999999,84.64000001,31.940000010000002,62.14000001,88.53000001,107.73000001,44.23000001,60.200000010000004,75.07000000999999,80.09000001,44.13000001,56.15000001,43.47000001,42.96000001,46.29000001,20.74000001,48.22000001,80.66000000999999,32.22000001,59.80000001,83.49000000999999,45.14000001,73.99000000999999,68.52000000999999,72.16000000999999,65.48000001
FBP1,394.48000001,329.16000001000003,256.56000001,219.31000001,140.84000001,253.74000001000002,302.22000001000004,206.22000001,264.71000001,360.84000001,397.02000001,167.80000001000002,133.31000001,174.45000001,367.01000001,175.78000001,217.76000001,210.15000001,239.55000001000002,132.07000001,226.95000001,186.82000001,256.43000001,142.69000001,404.14000001,198.94000001,89.57000000999999,191.51000001,233.38000001,279.06000001,320.13000001,163.95000001,261.24000001,204.52000001000002,159.83000001000002,102.88000000999999,246.23000001,195.38000001,233.54000001,111.59000001,275.61000001,241.21000001000002,260.48000001,154.80000001000002,180.53000001,117.89000001,333.10000001000003,71.82000000999999,88.49000000999999,122.88000000999999
LXN,46.66000001,63.10000001,16.47000001,32.36000001,16.59000001,7.59000001,27.47000001,71.50000001,341.52000001,122.99000000999999,36.71000001,44.72000001,7.5600000099999995,10.070000010000001,517.24000001,10.330000010000001,11.79000001,12.060000010000001,9.52000001,15.70000001,432.12000001,21.280000010000002,120.26000001,104.86000001,21.73000001,48.700000010000004,54.08000001,20.34000001,36.80000001,17.90000001,11.330000010000001,15.84000001,29.99000001,43.35000001,19.07000001,10.43000001,31.920000010000003,59.97000001,34.68000001,12.36000001,15.800000010000002,18.00000001,16.530000010000002,23.91000001,12.03000001,11.630000010000002,24.09000001,14.060000010000001,14.18000001,37.35000001
DPYS,245.90000001,179.86000001000002,85.09000001,296.93000001,101.02000000999999,439.17000001,106.61000001,190.88000001,147.49000001000002,209.95000001,635.10000001,105.90000001,225.63000001,142.51000001,87.16000000999999,131.50000001,213.58000001000002,160.53000001,174.22000001,239.29000001,266.83000001,340.99000001,514.95000001,222.55000001000002,132.32000001,240.48000001,139.62000001,142.84000001,138.71000001000002,324.07000001,217.70000001,108.83000000999999,175.91000001,185.08000001000002,165.19000001,120.59000001,239.27000001000002,233.61000001000002,132.67000001,123.63000000999999,109.03000001,109.41000000999999,148.48000001,140.46000001000002,226.12000001,141.96000001000002,90.55000000999999,167.18000001000001,188.65000001,169.16000001
